Town/City,Clerk,Address,Phone (area code 603),Fax,E-Mail,Town Website Address,Polling Place,Polling Hours,ElectionName,,
MASON,DEBRA A MORRISON,16 DARLING HILL RD MASON 03048,878-3768,878-4892,masontownclerk@gmail.com,www.masonnh.us,Mason Elementary School 13 Darling Hill Rd Mason 03048,8:00 AM - 7:00 PM,9/13/2016,2016 STATE PRIMARY ELECTION,
MEREDITH,KERRI ANN PARKER,41 MAIN STREET MEREDITH 03253,677-4203,279-1042,kparker@meredithnh.org,www.meredithnh.org,Meredith Community Center 1 Circle Dr Meredith 03253,7:00 AM - 7:00 PM,9/13/2016,2016 STATE PRIMARY ELECTION,
MIDDLETON,DEBORAH L O'TOOLE,182 KINGS HIGHWAY MIDDLETON 03887,473-5210,473-2450,tctx@middletonnh.gov,www.middletonnh.gov,Middleton Old Town Hall 200 Kings Hwy Middleton 03887,8:00 AM - 7:00 PM,9/13/2016,2016 STATE PRIMARY ELECTION,
MILAN,CYNTHIA S WOODWARD,PO BOX 158 MILAN 03588,449-3461,449-2624,milantownclerk@gmail.com,www.townofmilan.org,Milan Village School Gym 11 Bridge St Milan 03588,8:00 AM - 7:00 PM,9/13/2016,2016 STATE PRIMARY ELECTION,
MILFORD,JOAN  DARGIE,1 UNION SQUARE MILFORD 03055,249-0650,673-2273,joan.dargie@milford.nh.gov,http://www.milford.nh.gov/,Milford Middle School 33 Osgood Rd Milford 03055,6:00 AM - 8:00 PM,9/13/2016,2016 STATE PRIMARY ELECTION,
MILTON,MICHELLE L BEAUCHAMP,PO BOX 180 MILTON 03851,652-4501,652-4120,townclerktaxcollecter@miltonnh-us.com,www.miltonnh-us.com,Milton Assembly Of God Church 370 White Mountain Hwy Milton 03851,8:00 AM - 7:00 PM,9/13/2016,2016 STATE PRIMARY ELECTION,
MONROE,MARILYN S BEDELL,PO BOX 63 MONROE 03771,638-2644,638-2021,monroetc@roadrunner.com,monroenh.org,Monroe Town Hall 50 Main St Monroe 03771,8:00 AM - 7:00 PM,9/13/2016,2016 STATE PRIMARY ELECTION,
MONT VERNON,BELINDA  YEATON,PO BOX 417 MONT VERNON 03057,673-9126,673-0914,mvtownclerk@comcast.net,http://montvernonnh.us,Mont Vernon Village School 1 Kittredge Rd Mont Vernon 03057,7:00 AM - 7:00 PM,9/13/2016,2016 STATE PRIMARY ELECTION,
MOULTONBOROUGH,BARBARA E WAKEFIELD,PO BOX 15 MOULTONBOROUGH 03254,476-2347,476-2778,townclerk@moultonboroughnh.gov,www.moultonboroughnh.gov,Moultonborough Public Safety Building 1035 Whittier Hwy Moultonborough 03254,7:00 AM - 7:00 PM,9/13/2016,2016 STATE PRIMARY ELECTION,
NASHUA WARD 01,PATRICIA D PIECUCH,229 MAIN STREET NASHUA 03060,589-3010,589-3029,cityclerkdept@nashuanh.gov,www.nashuanh.gov,WARD 01 - Broad Street Elementary School 390 Broad St Nashua 03063,6:00 AM - 8:00 PM,9/13/2016,2016 STATE PRIMARY ELECTION,
NASHUA WARD 02,PATRICIA D PIECUCH,229 MAIN STREET NASHUA 03060,589-3010,589-3029,cityclerkdept@nashuanh.gov,www.nashuanh.gov,WARD 02 - Charlotte Avenue Elementary School 48 Charlotte Ave Nashua 03064,6:00 AM - 8:00 PM,9/13/2016,2016 STATE PRIMARY ELECTION,
NASHUA WARD 03,PATRICIA D PIECUCH,229 MAIN STREET NASHUA 03060,589-3010,589-3029,cityclerkdept@nashuanh.gov,www.nashuanh.gov,WARD 03 - Amherst Street Elementary School 71 Amherst St Nashua 03064,6:00 A.M. - 8:00 P.M.,9/13/2016,2016 STATE PRIMARY ELECTION,
NASHUA WARD 04,PATRICIA D PIECUCH,229 MAIN STREET NASHUA 03060,589-3010,589-3029,cityclerkdept@nashuanh.gov,www.nashuanh.gov,WARD 04 - Ledge Street Elementary School 139 Ledge St Nashua 03060,6:00 AM - 8:00 PM,9/13/2016,2016 STATE PRIMARY ELECTION,
NASHUA WARD 05,PATRICIA D PIECUCH,229 MAIN STREET NASHUA 03060,589-3010,589-3029,cityclerkdept@nashuanh.gov,www.nashuanh.gov,WARD 05 - Main Dunstable Elementary School 20 Whitford Rd Nashua 03062,6:00 AM - 8:00 PM,9/13/2016,2016 STATE PRIMARY ELECTION,
NASHUA WARD 06,PATRICIA D PIECUCH,229 MAIN STREET NASHUA 03060,589-3010,589-3029,cityclerkdept@nashuanh.gov,www.nashuanh.gov,WARD 06 - Fairgrounds Middle School 27 Cleveland St Nashua 03060,6:00 AM - 8:00 PM,9/13/2016,2016 STATE PRIMARY ELECTION,
NASHUA WARD 07,PATRICIA D PIECUCH,229 MAIN STREET NASHUA 03060,589-3010,589-3029,cityclerkdept@nashuanh.gov,www.nashuanh.gov,WARD 07 - Dr. Norman W. Crisp Elementary School 50 Arlington St Nashua 03060,6:00 AM - 8:00 PM,9/13/2016,2016 STATE PRIMARY ELECTION,
NASHUA WARD 08,PATRICIA D PIECUCH,229 MAIN STREET NASHUA 03060,589-3010,589-3029,cityclerkdept@nashuanh.gov,www.nashuanh.gov,WARD 08 - Bicentennial Elementary School 296 East Dunstable Rd Nashua 03062,6:00 AM - 8:00 PM,9/13/2016,2016 STATE PRIMARY ELECTION,
NASHUA WARD 09,PATRICIA D PIECUCH,229 MAIN STREET NASHUA 03060,589-3010,589-3029,cityclerkdept@nashuanh.gov,www.nashuanh.gov,WARD 09 - New Searles Elementary School 39 Shady Ln Nashua 03062,6:00 AM - 8:00 PM,9/13/2016,2016 STATE PRIMARY ELECTION,
NELSON,JULIA  LENNON,7 NELSON COMMON RD NELSON 03457,847-9043,847-3197,townclerk@nelsonnh.us,www.townofnelson.com,Nelson Town Hall 7 Nelson Common Rd Nelson 03457,8:00 AM - 7:00 PM,9/13/2016,2016 STATE PRIMARY ELECTION,
NEW BOSTON,IRENE C BAUDREAU,P O BOX 250 NEW BOSTON 03070,487-2500,487-2975,i.baudreau@newbostonnh.gov,www.newbostonnh.gov,New Boston Central Elementary School 15 Central School Rd New Boston 03070,7:00 AM - 7:00 PM,9/13/2016,2016 STATE PRIMARY ELECTION,
NEW CASTLE,PRISCILLA  HODGKINS,PO BOX 367 NEW CASTLE 03854,431-6710,433-6198,phnewcastle@yahoo.com,www.newcastlenh.org,New Castle Recreation Center 301 Wentworth Rd New Castle 03854,9:00 AM - 7:00 PM,9/13/2016,2016 STATE PRIMARY ELECTION,
NEW DURHAM,STEPHANIE LISLE MACKENZIE,PO BOX 207 NEW DURHAM 03855,859-2091,859-6644,ndclerk@newdurhamnh.us,www.newdurhamnh.us,New Durham School 7 Old Bay Rd New Durham 03855,8:00 AM - 7:00 PM,9/13/2016,2016 STATE PRIMARY ELECTION,
NEW HAMPTON,CYNTHIA M TORSEY,PO BOX 538 NEW HAMPTON 03256,744-8454,744-0671,ctorsey@new-hampton.nh.us,www.new-hampton.nh.us,New Hampton Town House 86 Town House Rd New Hampton 03256,8:00 AM - 7:00 PM,9/13/2016,2016 STATE PRIMARY ELECTION,
NEW IPSWICH,JESSICA  OLSON,661 TURNPIKE ROAD NEW IPSWICH 03071,878-2772,878-3855,townclerk@townofnewipswich.org,www.townofnewipswich.org,Mascenic Regional High School 175 Turnpike Rd New Ipswich 03071,7:00 AM - 7:00 PM,9/13/2016,2016 STATE PRIMARY ELECTION,
NEW LONDON,LINDA C NICKLOS,375 MAIN STREET NEW LONDON 03257,526-4821,526-9494,tctc@nl-nh.com,www.nl-nh.com,Whipple Memorial Town Hall 429 Main St New London 03257,8:00 AM - 7:00 PM,9/13/2016,2016 STATE PRIMARY ELECTION,
NEWBURY,LINDA JEAN PLUNKETT,PO BOX 253 NEWBURY 03255,763-5326,763-5298,linda@newburynh.org,www.newburynh.org,Town Office Building 937 Route 103 Newbury 03255,7:00 AM - 7:00 PM,9/13/2016,2016 STATE PRIMARY ELECTION,
NEWFIELDS,SUE E MCKINNON,65 MAIN STREET NEWFIELDS 03856,772-5070,772-9004,suemckinnon@newfieldsnh.gov,www.newfieldsnh.gov,Newfields Town Hall 65 Main St Newfields 03856,7:00 AM - 7:00 PM,9/13/2016,2016 STATE PRIMARY ELECTION,
NEWINGTON,LAURA C COLEMAN,205 NIMBLE HILL RD NEWINGTON 03801,436-7640,436-7188,lcoleman@townofnewingtonnh.com,www.newington.nh.us,Newington Town Hall 205 Nimble Hill Rd Newington 03801,8:00 AM - 7:00 PM,9/13/2016,2016 STATE PRIMARY ELECTION,
NEWMARKET,TERRI J LITTLEFIELD,186 MAIN ST NEWMARKET 03857,659-3073,659-3441,tlittlefield@newmarketnh.gov,www.newmarketnh.gov,Newmarket High School Gym 213 S Main St Newmarket 03857,7:00 AM - 7:00 PM,9/13/2016,2016 STATE PRIMARY ELECTION,
NEWPORT,LISELLE G DUFORT,15 SUNAPEE STREET NEWPORT 03773,863-2224,863-8008,clerk@newportnh.net,www.newportnh.net,Newport Town Hall 20 Main St Newport 03773,8:00 AM - 7:00 PM,9/13/2016,2016 STATE PRIMARY ELECTION,
NEWTON,MARY JO  MCCULLOUGH,2 TOWN HALL ROAD NEWTON 03858,382-4096,382-2596,townclerktaxcollector@newtonnh.net,www.newton-nh.gov,Newton Town Hall 2 Town Hall Rd Newton 03858,8:00 AM - 8:00 PM,9/13/2016,2016 STATE PRIMARY ELECTION,
NORTH HAMPTON,SUSAN M BUCHANAN,237 ATLANTIC AVENUE NORTH HAMPTON 03862,964-6029,964-2906,sbuchanan@northhampton-nh.gov,www.northhampton-nh.gov,North Hampton Town Hall 231 Atlantic Ave North Hampton 03862,8:00 AM - 7:00 PM,9/13/2016,2016 STATE PRIMARY ELECTION,
NORTHFIELD,CINDY L CAVENEY,21 SUMMER STREET NORTHFIELD 03276,286-4482,286-3328,ccaveney@northfieldnh.org,www.northfieldnh.org,Pines Community Center 61 Summer St Northfield 03276,8:00 AM - 7:00 PM,9/13/2016,2016 STATE PRIMARY ELECTION,
NORTHUMBERLAND,MELINDA A KENNETT,19 MAIN STREET GROVETON 03582,636-1451,636-6098,northumberlandtownclerk@yahoo.com,northumberlandnh.weebly.com,Northumberland Town Hall 10 Station Square St Northumberland 03582,8:00 AM - 7:00 PM,9/13/2016,2016 STATE PRIMARY ELECTION,
NORTHWOOD,JUDY  PEASE,818 FIRST NH TPKE NORTHWOOD 03261,942-5586,942-9107,jpease@northwoodnh.org,www.northwoodnh.org,St. Joseph's Parish Hall 844 1St Nh Tpke Northwood 03261,7:00 AM - 7:00 PM,9/13/2016,2016 STATE PRIMARY ELECTION,
NOTTINGHAM,SANDRA W WESTON,PO BOX 114 NOTTINGHAM 03290,679-9598,679-9598,sweston@nottingham-nh.gov,www.nottingham-nh.gov,Community Center 139 Stage Rd Nottingham 03290,8:00 AM - 7:00 PM,9/13/2016,2016 STATE PRIMARY ELECTION,
ORANGE,SOPHIE  SEACE,PO BOX 37 CANAAN 03741,523-4467,523-7054,orangetownclerk@myfairpoint.net,www.orangenh.us,Orange Town House 8 Townhouse Rd Orange 03741,11:00 AM - 7:00 PM,9/13/2016,2016 STATE PRIMARY ELECTION,
ORFORD,DEBORAH M HADLOCK,2529 ROUTE 25A ORFORD 03777,353-4404,353-4489,townclerk@orfordnh.us,www.orfordnh.us,Orford Town Office 2529 Route 25A Orford 03777,7:00 AM - 7:00 PM,9/13/2016,2016 STATE PRIMARY ELECTION,
OSSIPEE,KELLIE J SKEHAN,PO BOX 67 CTR OSSIPEE 03814,539-2008,539-2856,tctc@ossipee.org,www.ossipee.org,Ossipee Town Hall 55 Main St Ossipee 03814,8:00 AM - 7:00 PM,9/13/2016,2016 STATE PRIMARY ELECTION,
PELHAM,DOROTHY ANN MARSDEN,6 VILLAGE GREEN PELHAM 03076,508-3076,508-3096,townclerk@pelhamweb.com,www.pelhamweb.com,Pelham High School 85 Marsh Rd Pelham 03076,7:00 AM - 8:00 PM,9/13/2016,2016 STATE PRIMARY ELECTION,
PEMBROKE,JAMES F GOFF,311 PEMBROKE STREET PEMBROKE 03275,485-4747,485-3967,jgoff@pembroke-nh.com,www.pembroke-nh.com,Pembroke Three Rivers School 243 Academy Rd Pembroke 03275,7:00 AM - 7:00 PM,9/13/2016,2016 STATE PRIMARY ELECTION,
PETERBOROUGH,LINDA M GUYETTE,1 GROVE ST PETERBOROUGH 03458,924-8000,924-8001,townclerk@peterboroughnh.gov,www.townofpeterborough.com,Peterborough Town House 1 Grove St Peterborough 03458,7:00 AM - 7:00 PM,9/13/2016,2016 STATE PRIMARY ELECTION,
PIERMONT,BERNADETTE  RATEL,PO BOX 27 PIERMONT 03779,272-4840,272-4947,piermont.town.clerk@gmail.com,www.townofpiermontnh.org,Old Church Building 129 Route 10 Piermont 03779,10:00 AM - 7:00 PM,9/13/2016,2016 STATE PRIMARY ELECTION,
PINKHAM'S GRANT,CAROL T PORTER,20 PARK STREET GORHAM 03581,466-2744,466-3100,cporter@gorhamnh.org,www.gorhamnh.org,Gorham Town Hall 20 Park St Pinkham's Grant 03581,8:00 AM - 7:00 PM,9/13/2016,2016 STATE PRIMARY ELECTION,
PITTSBURG,MARISE CLAIRE BURNS,1526 MAIN STREET PITTSBURG 03592,538-6699,538-6697,pittsburg1nh@gmail.com,www.pittsburg-nh.com,Pittsburg School 12 School St Pittsburg 03592,11:00 AM - 7:00 PM,9/13/2016,2016 STATE PRIMARY ELECTION,
PITTSFIELD,ERICA B ANTHONY,85 MAIN STREET PITTSFIELD 03263,435-6773,435-7922,eanthony@pittsfieldnh.gov,www.pittsfieldnh.gov,Pittsfield Town Hall 85 Main St Pittsfield 03263,7:00 AM - 7:00 PM,9/13/2016,2016 STATE PRIMARY ELECTION,
PLAISTOW,MARYELLEN  PELLETIER,145 MAIN STREET PLAISTOW 03865,382-8129,382-7383,mpelletier@plaistow.com,www.plaistow.com,Pollard School Gym 120 Main St Plaistow 03865,7:00 AM - 8:00 PM,9/13/2016,2016 STATE PRIMARY ELECTION,
PLYMOUTH,KAREN  FREITAS,6 POST OFFICE SQ. PLYMOUTH 03264,536-1732,536-0036,townclerk@plymouth-nh.org,www.plymouth-nh.org,Plymouth Elementary School 43 Old Ward Bridge Rd Plymouth 03264,8:00 AM - 7:00 PM,9/13/2016,2016 STATE PRIMARY ELECTION,
PORTSMOUTH WARD 01,KELLI L BARNABY,1 JUNKINS AVENUE PORTSMOUTH 03801,610-7207,427-1579,klbarnaby@cityofportsmouth.com,www.cityofportsmouth.com,WARD 01 - New Franklin School 1 Franklin Dr Portsmouth 03801,8:00 AM - 7:00 PM,9/13/2016,2016 STATE PRIMARY ELECTION,
PORTSMOUTH WARD 02,KELLI L BARNABY,1 JUNKINS AVENUE PORTSMOUTH 03801,610-7207,427-1579,klbarnaby@cityofportsmouth.com,www.cityofportsmouth.com,WARD 02 - Middle School 155 Parrott Ave Portsmouth 03801,8:00 AM - 7:00 PM,9/13/2016,2016 STATE PRIMARY ELECTION,
PORTSMOUTH WARD 03,KELLI L BARNABY,1 JUNKINS AVENUE PORTSMOUTH 03801,610-7207,427-1579,klbarnaby@cityofportsmouth.com,www.cityofportsmouth.com,WARD 03 - Robert J. Lister Academy 35 Sherburne Rd Portsmouth 03801,8:00 AM - 7:00 PM,9/13/2016,2016 STATE PRIMARY ELECTION,
PORTSMOUTH WARD 04,KELLI L BARNABY,1 JUNKINS AVENUE PORTSMOUTH 03801,610-7207,427-1579,klbarnaby@cityofportsmouth.com,www.cityofportsmouth.com,WARD 04 - Portsmouth High School 50 Andrew Jarvis Dr Portsmouth 03801,8:00 AM - 7:00 PM,9/13/2016,2016 STATE PRIMARY ELECTION,
PORTSMOUTH WARD 05,KELLI L BARNABY,1 JUNKINS AVENUE PORTSMOUTH 03801,610-7207,427-1579,klbarnaby@cityofportsmouth.com,www.cityofportsmouth.com,WARD 05 - Little Harbour School 50 Clough Dr Portsmouth 03801,8:00 AM - 7:00 PM,9/13/2016,2016 STATE PRIMARY ELECTION,
RANDOLPH,ANNE  KENISON,130 DURAND ROAD RANDOLPH 03593,466-5771,466-9856,townclerk@randolph.nh.gov,www.randolph.nh.gov,Randolph Town Hall 130 Durand Rd Randolph 03593,11:00 AM - 7:00 PM,9/13/2016,2016 STATE PRIMARY ELECTION,
RAYMOND,SHARON E WALLS,4 EPPING STREET RAYMOND 03077,895-4735,895-0903,swalls@raymondnh.gov,www.raymondnh.gov,Iber Holmes Gove Middle School 1 Stephen K Batchelder Pkwy Raymond 03077,7:00 AM - 7:00 PM,9/13/2016,2016 STATE PRIMARY ELECTION,
RICHMOND,ANNETTE NAOMI TOKUNAGA,105 OLD HOMESTEAD HWY RICHMOND 03470,239-6202,239-4615,richmondtownclerk@yahoo.com,www.richmond.nh.gov,Veterans Memorial  Hall 150 Old Homestead Hwy Richmond 03470,8:00 AM - 7:00 PM,9/13/2016,2016 STATE PRIMARY ELECTION,
RINDGE,NANCY A. S. MARTIN,30 PAYSON HILL RD RINDGE 03461,899-5181,899-2108,townclerk@town.rindge.nh.us,www.rindgenh.org,Rindge Memorial School 58 School St Rindge 03461,7:00 AM - 7:00 PM,9/13/2016,2016 STATE PRIMARY ELECTION,
ROCHESTER WARD 01,KELLY ANNE WALTERS,31 WAKEFIELD ST ROCHESTER 03867,332-2130,509-1915,kelly.walters@rochesternh.net,www.rochesternh.net,WARD 01 - East Rochester Elementary School 773 Portland St Rochester 03868,8:00 AM - 7:00 PM,9/13/2016,2016 STATE PRIMARY ELECTION,
ROCHESTER WARD 02,KELLY ANNE WALTERS,31 WAKEFIELD ST ROCHESTER 03867,332-2130,509-1915,kelly.walters@rochesternh.net,www.rochesternh.net,WARD 02 - Saint Mary's Parish Center 71 Lowell St Rochester 03867,8:00 AM - 7:00 PM,9/13/2016,2016 STATE PRIMARY ELECTION,
ROCHESTER WARD 03,KELLY ANNE WALTERS,31 WAKEFIELD ST ROCHESTER 03867,332-2130,509-1915,kelly.walters@rochesternh.net,www.rochesternh.net,WARD 03 - Gonic Elementary School 11 Railroad Ave Rochester 03839,8:00 AM - 7:00 PM,9/13/2016,2016 STATE PRIMARY ELECTION,
ROCHESTER WARD 04,KELLY ANNE WALTERS,31 WAKEFIELD ST ROCHESTER 03867,332-2130,509-1915,kelly.walters@rochesternh.net,www.rochesternh.net,WARD 04 - Rochester Home Depot 280 North Main St Rochester 03867,8:00 AM - 7:00 PM,9/13/2016,2016 STATE PRIMARY ELECTION,
ROCHESTER WARD 05,KELLY ANNE WALTERS,31 WAKEFIELD ST ROCHESTER 03867,332-2130,509-1915,kelly.walters@rochesternh.net,www.rochesternh.net,WARD 05 - Rochester Community Center - Chestnut Hill Road Entrance 150 Wakefield St Rochester 03867,8:00 AM - 7:00 PM,9/13/2016,2016 STATE PRIMARY ELECTION,
ROCHESTER WARD 06,KELLY ANNE WALTERS,31 WAKEFIELD ST ROCHESTER 03867,332-2130,509-1915,kelly.walters@rochesternh.net,www.rochesternh.net,WARD 06 - Elks Lodge 1393 295 Columbus Ave Rochester 03867,8:00 AM - 7:00 PM,9/13/2016,2016 STATE PRIMARY ELECTION,
ROLLINSFORD,KATE  NESMAN,PO BOX 309 ROLLINSFORD 03869,742-2510,740-0254,kate.nesman@rollinsford.nh.us,www.rollinsford.nh.us,Rollinsford Town Hall 668 Main St Rollinsford 03869,7:00 AM - 7:00 PM,9/13/2016,2016 STATE PRIMARY ELECTION,
ROXBURY,ROBIN LEIGH BUFFUM,562 MIDDLETOWN ROAD ROXBURY 03431,352-4903,352-4903,roxburytownclerk@yahoo.com,www.roxburynh.org,Roxbury Town Hall 3 Middletown Rd Roxbury 03431,11:00 AM - 7:00 PM,9/13/2016,2016 STATE PRIMARY ELECTION,
RUMNEY,PAULETTE K BOWERS,PO BOX 275 RUMNEY 03266,786-2237,786-2237,townclerk@rumneynh.org,www.rumneynh.org,Russell Elementary School 195 School St Rumney 03266,8:00 AM - 7:00 PM,9/13/2016,2016 STATE PRIMARY ELECTION,
RYE,DONNA M DECOTIS,10 CENTRAL ROAD RYE 03870,964-8562,964-4132,ddecotis@town.rye.nh.us,www.town.rye.nh.us,Rye Elementary School 461 Sagamore Rd Rye 03870,8:00 AM - 7:00 PM,9/13/2016,2016 STATE PRIMARY ELECTION,
SALEM WARD 01,SUSAN M WALL,33 GEREMONTY DR SALEM 03079,890-2116,685-6402,swall@ci.salem.nh.us,www.townofsalemnh.org,WARD 01 - Fisk School 14 Main St Salem 03079,7:00 AM - 7:00 PM,9/13/2016,2016 STATE PRIMARY ELECTION,
SALEM WARD 02,SUSAN M WALL,33 GEREMONTY DR SALEM 03079,890-2116,685-6402,swall@ci.salem.nh.us,www.townofsalemnh.org,WARD 02 - Soule School 173 S Policy St Salem 03079,7:00 AM - 7:00 PM,9/13/2016,2016 STATE PRIMARY ELECTION,
SALEM WARD 03,SUSAN M WALL,33 GEREMONTY DR SALEM 03079,890-2116,685-6402,swall@ci.salem.nh.us,www.townofsalemnh.org,WARD 03 - Barron School 55 Butler St Salem 03079,7:00 AM - 7:00 PM,9/13/2016,2016 STATE PRIMARY ELECTION,
SALEM WARD 04,SUSAN M WALL,33 GEREMONTY DR SALEM 03079,890-2116,685-6402,swall@ci.salem.nh.us,www.townofsalemnh.org,WARD 04 - Senior Center 1 Sally Sweets Way Salem 03079,7:00 AM - 7:00 PM,9/13/2016,2016 STATE PRIMARY ELECTION,
SALEM WARD 06,SUSAN M WALL,33 GEREMONTY DR SALEM 03079,890-2116,685-6402,swall@ci.salem.nh.us,www.townofsalemnh.org,WARD 06 - No. Salem School 140 Zion Hill Rd Salem 03079,7:00 AM - 7:00 PM,9/13/2016,2016 STATE PRIMARY ELECTION,
SALISBURY,APRIL C ROLLINS,PO BOX 2 SALISBURY 03268,648-6322,648-6658,tclerksalisbury@gmail.com,www.salisburynh.org,Salisbury Town Hall 645 Old Turnpike Rd Salisbury 03268,8:00 AM - 7:00 PM,9/13/2016,2016 STATE PRIMARY ELECTION,
SANBORNTON,MARLA  DAVIS,PO BOX 124 SANBORNTON 03269,286-4034,286-9544,tctc@sanborntonnh.org,www.sanborntonnh.org,Sanbornton Old Town Hall 4 Meetinghouse Hill Rd Sanbornton 03269,7:00AM - 7:00PM,9/13/2016,2016 STATE PRIMARY ELECTION,
SANDOWN,MICHELLE  SHORT,PO BOX 583 SANDOWN 03873,887-4870,887-8977,mshort@sandown.us,www.sandown.us,Sandown Town Hall 320 Main St Sandown 03873,8:00 AM - 8:00 PM,9/13/2016,2016 STATE PRIMARY ELECTION,
SANDWICH,SHARON  TEEL,PO BOX 194 SANDWICH 03227,284-7113,284-6819,tctcsandwich@cyberpine.net,sandwichnh.org,Sandwich Town Hall 8 Maple St Sandwich 03227,8:00 AM - 7:00 PM,9/13/2016,2016 STATE PRIMARY ELECTION,
SARGENT'S PURCHASE,CAROL T PORTER,20 PARK STREET GORHAM 03581,466-2744,466-2744,cporter@gorhamnh.org,none available,Gorham Town Hall 20 Park St Sargent's Purchase 03581,8:00 AM - 7:00 PM,9/13/2016,2016 STATE PRIMARY ELECTION,
SEABROOK,BONNIE L FOWLER,251 RTE 286 SEABROOK 03874,474-3152,474-8007,townclerk@seabrooknh.org,www.seabrooknh.info,Seabrook Community Center 311 Lafayette Rd Seabrook 03874,7:00 AM - 7:00 PM,9/13/2016,2016 STATE PRIMARY ELECTION,
SHARON,JULIANA L KAZANOVICZ,432 NH RTE 123 SHARON 03458,924-9250,924-3103,sharonnhdeputy@gmail.com,www.sharonnh.org,Sharon Meeting House 432 Rt 123 Sharon 03458,11:00 AM - 7:00 PM,9/13/2016,2016 STATE PRIMARY ELECTION,
SHELBURNE,DEBBIE E HAYES,74 VILLAGE ROAD SHELBURNE 03581,466-2262,466-5271,shelburntctx@gmail.com,www.shelburnenh.com,Shelburne Town Hall 74 Village Rd Shelburne 03581,11:00 AM - 7:00 PM,9/13/2016,2016 STATE PRIMARY ELECTION,
SOMERSWORTH WARD 01,TRISH  HARRIS,1 GOVERNMENT WAY SOMERSWORTH 03878,692-9511,692-9574,tharris@somersworth.com,www.somersworth.com,WARD 01 - City Hall 1 Government Way Somersworth 03878,8:00 AM - 7:00 PM,9/13/2016,2016 STATE PRIMARY ELECTION,
SOMERSWORTH WARD 02,TRISH  HARRIS,1 GOVERNMENT WAY SOMERSWORTH 03878,692-9511,692-9574,tharris@somersworth.com,www.somersworth.com,WARD 02 - Summersworth Historical Museum 157 Main St Somersworth 03878,8:00 AM - 7:00 PM,9/13/2016,2016 STATE PRIMARY ELECTION,
SOMERSWORTH WARD 03,TRISH  HARRIS,1 GOVERNMENT WAY SOMERSWORTH 03878,692-9511,692-9574,tharris@somersworth.com,www.somersworth.com,WARD 03 - Flanagan Community Center 25 Bartlett Ave Somersworth 03878,8:00 AM - 7:00 PM,9/13/2016,2016 STATE PRIMARY ELECTION,
SOMERSWORTH WARD 04,TRISH  HARRIS,1 GOVERNMENT WAY SOMERSWORTH 03878,692-9511,692-9574,tharris@somersworth.com,www.somersworth.com,WARD 04 - Charpentier Apartments 28 Franklin St Somersworth 03878,8:00 AM - 7:00 PM,9/13/2016,2016 STATE PRIMARY ELECTION,
SOMERSWORTH WARD 05,TRISH  HARRIS,1 GOVERNMENT WAY SOMERSWORTH 03878,692-9511,692-9574,tharris@somersworth.com,www.somersworth.com,WARD 05 - Romeo J Messier Building 218 Main St Somersworth 03878,8:00 AM - 7:00 PM,9/13/2016,2016 STATE PRIMARY ELECTION,
SOUTH HAMPTON,ANDREA  CONDON,190 HILLDALE AVE SOUTH HAMPTON 03827,394-7696,394-2134,townclerk@townsh.comcastbiz.net,southhamptonnh.org,South Hamtpn Town Hall 3 Hilldale Ave South Hampton 03827,11:00 AM - 8:00 PM,9/13/2016,2016 STATE PRIMARY ELECTION,
SPRINGFIELD,CYNTHIA C ANDERSON,PO BOX 22 SPRINGFIELD 03284,763-4805,763-3336,townclerk@springfieldnh.org,www.springfieldnh.org,Springfield Meeting House 23 Four Corners Rd Springfield 03284,8:00 AM - 7:00 PM,9/13/2016,2016 STATE PRIMARY ELECTION,
STARK,SUSAN H CROTEAU,1189 STARK HWY STARK 03582,636-2118,636-6199,starktownof@myfairpoint.net,www.townofstark.org,Stark Volunteer Fire Department 1276 Stark Hwy Stark 03582,9:00 AM - 7:00 PM,9/13/2016,2016 STATE PRIMARY ELECTION,
STEWARTSTOWN,RITA M HIBBARD,888 WASHINGTON W STEWARTSTOWN 03597,246-3329,246-3329,townofstewartstown@hotmail.com,none available,Stewartstown Community School 60 School St Stewartstown 03597,11:00 AM - 7:00 PM,9/13/2016,2016 STATE PRIMARY ELECTION,
STODDARD,LINDA E CLARK,PO BOX 373 STODDARD 03464,446-2214,446-2278,townclerkstoddard@live.com,www.stoddardnh.org,Stoddard Town Hall 1450 Route 123 North Stoddard 03464,8:00 AM - 7:00 PM,9/13/2016,2016 STATE PRIMARY ELECTION,
STRAFFORD,DIANE M WALDRON,P O BOX 169 STRAFFORD 03884,664-2192,664-7276,townclerk@strafford.nh.gov,www.strafford.nh.gov,Strafford Town Hall 12 Mountain View Dr Strafford 03884,8:00 AM - 7:00 PM,9/13/2016,2016 STATE PRIMARY ELECTION,
STRATFORD,DAWN A FROST,1956 U.S. RT. 3/PO BOX 366 STRATFORD 03590,922-5546,922-3317,townofstratford@gmail.com,www.stratfordnh.org,Fuller Town Hall 1956 Us Route 3 Stratford 03590,10:00 AM - 7:00 PM,9/13/2016,2016 STATE PRIMARY ELECTION,
STRATHAM,JOYCE L CHARBONNEAU,10 BUNKER HILL AVE STRATHAM 03885,772-4741,775-0517,jcharbonneau@strathamnh.gov,www.strathamnh.gov,Stratham Municipal Center 10 Bunker Hill Ave Stratham 03885,8:00 AM - 8:00 PM,9/13/2016,2016 STATE PRIMARY ELECTION,
