office-name,official-title,types,ocd-division,division-description,homepage-url,phone,email,street,city,state,zip,mailing-street,mailing-city,mailing-state,mailing-zip
Lowell Town,Municiple Clerk,":election,:registration",ocd-division/country:us/state:me/place:lowell,Lowell Town ME,,(207) 732-5177,,,,ME,,PO Box 166,Burlington,ME,04417
Lubec Town,Municiple Clerk,":election,:registration",ocd-division/country:us/state:me/place:lubec,Lubec Town ME,,(207) 733-2341,,40 School Street,Lubec,ME,04652,,,,
Ludlow Town,Municiple Clerk,":election,:registration",ocd-division/country:us/state:me/place:ludlow,Ludlow Town ME,,(207) 532-7743,,,,ME,,PO Box 487,Houlton,ME,04730
Lyman Town,Municiple Clerk,:election,ocd-division/country:us/state:me/place:lyman,Lyman Town ME,,(207) 499-7562,,11 South Waterboro Road,Lyman,ME,04002,,,,
Lyman Town,Municipal Registrar,:registration,ocd-division/country:us/state:me/place:lyman,Lyman Town ME,,(207) 499-7562,,11 South Waterboro Road,Lyman,ME,04002,,,,
Machias Town,Municiple Clerk,":election,:registration",ocd-division/country:us/state:me/place:machias,Machias Town ME,,(207) 255-6621,,,,ME,,PO Box 418,Machias,ME,04654
Machiasport Town,Municiple Clerk,":election,:registration",ocd-division/country:us/state:me/place:machiasport,Machiasport Town ME,,(207) 255-4516,,8 Unity Square,Machiasport,ME,04655,PO Box 267,Machiasport,ME,04655
Macwahoc Plantation,Municiple Clerk,":election,:registration",ocd-division/country:us/state:me/place:macwahoc,Macwahoc Plantation ME,,(207) 765-2581,,48 Kingman Rd.,Macwahoc Plt,ME,04451,,,,
Madawaska Town,Municiple Clerk,":election,:registration",ocd-division/country:us/state:me/place:madawaska,Madawaska Town ME,,(207) 896-5659,,62 School Street,Stockholm,ME,04783,,,,
Madawaska Lake Township,Municiple Clerk,:election,ocd-division/country:us/state:me/place:madawaska_lake,Madawaska Lake Township ME,,(207) 728-6351,,328 St Thomas St Suite 101,Madawaska,ME,04756,,,,
Madawaska Lake Township,Municipal Registrar,:registration,ocd-division/country:us/state:me/place:madawaska_lake,Madawaska Lake Township ME,,(207) 895-2204,,St Thomas St Suite 101,Madawaska,ME,04756,,,,
Madison Town,Municiple Clerk,:election,ocd-division/country:us/state:me/place:madison,Madison Town ME,,(207) 696-5622,,26 Weston Avenue,Madison,ME,04950,PO Box 190,Madison,ME,04950
Madison Town,Municipal Registrar,:registration,ocd-division/country:us/state:me/place:madison,Madison Town ME,,(207) 696-3971,,26 Weston Avenue,Madison,ME,04950,PO Box 190,Madison,ME,04950
Magalloway Plantation,Municiple Clerk,":election,:registration",ocd-division/country:us/state:me/place:magalloway,Magalloway Plantation ME,,(207) 486-3215,,3930 Dam Road,Errol,ME,03579,,,,
Manchester Town,Municiple Clerk,":election,:registration",ocd-division/country:us/state:me/place:manchester,Manchester Town ME,,(207) 622-1894,,,,ME,,PO Box 18,Manchester,ME,04351
Mapleton Town,Municiple Clerk,:election,ocd-division/country:us/state:me/place:mapleton,Mapleton Town ME,,(207) 764-3754,,,,ME,,PO Box 500,Mapleton,ME,04757
Mapleton Town,Municipal Registrar,:registration,ocd-division/country:us/state:me/place:mapleton,Mapleton Town ME,,(207) 764-3754,,,,ME,,PO Box 500,Mapleton,ME,04757
Mariaville Town,Municiple Clerk,":election,:registration",ocd-division/country:us/state:me/place:mariaville,Mariaville Town ME,,(207) 537-2107,,1686 Mariaville Road,Mariavile,ME,04605,,,,
Mars Hill Town,Municiple Clerk,:election,ocd-division/country:us/state:me/place:mars_hill,Mars Hill Town ME,,(207) 425-3731,,37 Main Street,Mars Hill,ME,04758,PO Box 449,Mars Hill,ME,04758
Mars Hill Town,Municipal Registrar,:registration,ocd-division/country:us/state:me/place:mars_hill,Mars Hill Town ME,,(207) 425-3731,,37 Main Street,Mars Hill,ME,04758,PO Box 449,Mars Hill,ME,04758
Marshfield Town,Municiple Clerk,":election,:registration",ocd-division/country:us/state:me/place:marshfield,Marshfield Town ME,,(207) 255-4779,,187 Northfield Rd,Marshfield,ME,04654,,,,
Masardis Town,Municiple Clerk,":election,:registration",ocd-division/country:us/state:me/place:masardis,Masardis Town ME,,(207) 435-2841,,26 School,Masardis,ME,04732,,,,
Matinicus Isle Plantation,Municiple Clerk,":election,:registration",ocd-division/country:us/state:me/place:matinicus_isle,Matinicus Isle Plantation ME,,(207) 366-3970,,,,ME,,PO Box 198,Matinicus,ME,04851
Mattawamkeag Town Me,Municiple Clerk,":election,:registration",ocd-division/country:us/state:me/place:mattawamkeag,Mattawamkeag Town ME Me,,(207) 736-2464,,263 Main Street,Mattawamkeag,ME,04459,PO Box 260,Mattawamkeag,ME,04459
Maxfield Town,Municiple Clerk,":election,:registration",ocd-division/country:us/state:me/place:maxfield,Maxfield Town ME,,(207) 732-5639,,231 River Rd,Maxfield,ME,04453,,,,
Mechanic Falls Town,Municiple Clerk,":election,:registration",ocd-division/country:us/state:me/place:mechanic_falls,Mechanic Falls Town ME,,(207) 345-2871,,108 Lewiston Street,Mechanic Falls,ME,04256,,,,
Meddybemps Town,Municiple Clerk,:election,ocd-division/country:us/state:me/place:meddybemps,Meddybemps Town ME,,(207) 454-8447,,726 Main Street,Meddybemps,ME,04657,,,,
Meddybemps Town,Municipal Registrar,:registration,ocd-division/country:us/state:me/place:meddybemps,Meddybemps Town ME,,(207) 454-3216,,9 Sand Cove Lane,Meddybemps,ME,04657,,,,
Medford Town,Municiple Clerk,":election,:registration",ocd-division/country:us/state:me/place:medford,Medford Town ME,,(207) 732-4079,,1015 Medford Center Road,Medford,ME,04463,,,,
Medway Town,Municiple Clerk,:election,ocd-division/country:us/state:me/place:medway,Medway Town ME,,(207) 746-9531,,4 School Street,Medway,ME,04460,,,,
Medway Town,Municipal Registrar,:registration,ocd-division/country:us/state:me/place:medway,Medway Town ME,,(207) 746-9531,,4 School Street,Medway,ME,04460,,,,
Mercer Town,Municiple Clerk,":election,:registration",ocd-division/country:us/state:me/place:mercer,Mercer Town ME,,(207) 587-2911,,1015 Beech Hill Road Suite A,Mercer,ME,04957,,,,
Merrill Town,Municiple Clerk,":election,:registration",ocd-division/country:us/state:me/place:merrill,Merrill Town ME,,(207) 757-8286,,3391 Route 2,Merrill,ME,04780,PO Box 239,Merrill,ME,04780
Mexico Town,Municiple Clerk,":election,:registration",ocd-division/country:us/state:me/place:mexico,Mexico Town ME,,(207) 364-7972,,134 Main Street,Mexico,ME,04257,PO Box 251,Mexico,ME,04257
Milbridge Town,Municiple Clerk,":election,:registration",ocd-division/country:us/state:me/place:milbridge,Milbridge Town ME,,(207) 546-2422,,18 School Street,Milbridge,ME,04658,PO Box 66,Milbridge,ME,04658
Milford Town,Municiple Clerk,":election,:registration",ocd-division/country:us/state:me/place:milford,Milford Town ME,,(207) 827-2072,,,,ME,,PO Box 336,Milford,ME,04461
Millinocket Town,Municiple Clerk,":election,:registration",ocd-division/country:us/state:me/place:millinocket,Millinocket Town ME,,(207) 723-7007,,197 Penobscot Avenue,Millinocket,ME,04462,,,,
Milo Town,Municiple Clerk,":election,:registration",ocd-division/country:us/state:me/place:milo,Milo Town ME,,(207) 943-2202,,6 Pleasant Street,Milo,ME,04463,PO Box 218,Milo,ME,04463
Minot Town,Municiple Clerk,:election,ocd-division/country:us/state:me/place:minot,Minot Town ME,,(207) 345-3305,,329 Woodman Hill Road,Minot,ME,04258,,,,
Minot Town,Municipal Registrar,:registration,ocd-division/country:us/state:me/place:minot,Minot Town ME,,(207) 345-3040,,329 Woodman Hill Rd,Minot,ME,04258,,,,
Monhegan Island Plantation,Municiple Clerk,":election,:registration",ocd-division/country:us/state:me/place:monhegan_island,Monhegan Island Plantation ME,,(207) 594-8833,,,,ME,,PO Box 322,Monhegan,ME,04852
Monmouth Town,Municiple Clerk,:election,ocd-division/country:us/state:me/place:monmouth,Monmouth Town ME,,(207) 933-2206,,,,ME,,PO Box 270,Monmouth,ME,04259
Monmouth Town,Municipal Registrar,:registration,ocd-division/country:us/state:me/place:monmouth,Monmouth Town ME,,(207) 933-2206,,,,ME,,PO Box 270,Monmouth,ME,04259
Monroe Town,Municiple Clerk,":election,:registration",ocd-division/country:us/state:me/place:monroe,Monroe Town ME,,(207) 525-3515,,8 Swanlake Avenue,Monroe,ME,04951,,,,
Monson Town,Municiple Clerk,":election,:registration",ocd-division/country:us/state:me/place:monson,Monson Town ME,,(207) 997-3641,,10 Tenney Hill Road,Monson,ME,04464,PO Box 308,Monson,ME,04464
Monticello Town,Municiple Clerk,":election,:registration",ocd-division/country:us/state:me/place:monticello,Monticello Town ME,,(207) 538-9500,,405 US Hwy 1,Monticello,ME,04760,PO Box 99,Monticello,ME,04760
Montville Town,Municiple Clerk,":election,:registration",ocd-division/country:us/state:me/place:montville,Montville Town ME,,(207) 342-5544,,414 Center Road,Montville,ME,04941,,,,
Moose River Town,Municiple Clerk,:election,ocd-division/country:us/state:me/place:moose_river,Moose River Town ME,,(207) 668-4019,,705 Main Street,Moose River,ME,04945,PO Box 267,Moose River,ME,04945
Moose River Town,Municipal Registrar,:registration,ocd-division/country:us/state:me/place:moose_river,Moose River Town ME,,(207) 668-7709,,46 Pleasant St,Moose River,ME,04945,,,,
Moro Plantation,Municiple Clerk,":election,:registration",ocd-division/country:us/state:me/place:moro,Moro Plantation ME,,(207) 528-2215,,,,ME,,PO Box 542,Patten,ME,04765
Morrill Town,Municiple Clerk,:election,ocd-division/country:us/state:me/place:morrill,Morrill Town ME,,(207) 342-3300,,,,ME,,PO Box 59,Morrill,ME,04952
Morrill Town,Municipal Registrar,:registration,ocd-division/country:us/state:me/place:morrill,Morrill Town ME,,(207) 342-3300,,,,ME,,PO Box 59,Morrill,ME,04952
Moscow Town,Municiple Clerk,:election,ocd-division/country:us/state:me/place:moscow,Moscow Town ME,,(207) 446-4707,,110 Canada Road,Moscow,ME,04920,,,,
Moscow Town,Municipal Registrar,:registration,ocd-division/country:us/state:me/place:moscow,Moscow Town ME,,(207) 672-4834,,87 Canada Road,Moscow,ME,04920,,,,
Mount Chase Town,Municiple Clerk,":election,:registration",ocd-division/country:us/state:me/place:mount_chase,Mount Chase Town ME,,(207) 528-2225,,1094 Shin Pond Road,Mount Chase,ME,04765,,,,
Mount Desert Town,Municiple Clerk,":election,:registration",ocd-division/country:us/state:me/place:mount_desert,Mount Desert Town ME,,(207) 276-5531,,21 Sea Street,Northeast Harbor,ME,04662,PO Box 248,Northeast Harbor,ME,04662
Mount Vernon Town,Municiple Clerk,":election,:registration",ocd-division/country:us/state:me/place:mount_vernon,Mount Vernon Town ME,,(207) 293-2379,,1997 North Road,Mount Vernon,ME,04352,,,,
Naples Town,Municiple Clerk,:election,ocd-division/country:us/state:me/place:naples,Naples Town ME,,(207) 693-6364,,15 Village Green Lane,Naples,ME,04055,PO Box 1757,Naples,ME,04055
Naples Town,Municipal Registrar,:registration,ocd-division/country:us/state:me/place:naples,Naples Town ME,,(207) 696-6364,,15 Village Green Lane,Naples,ME,04055,PO Box 1757,Naples,ME,04055
Nashville Plantation,Municiple Clerk,:election,ocd-division/country:us/state:me/place:nashville,Nashville Plantation ME,,(207) 435-6693,,800 Portage Road,Nashville Plantation,ME,04732,,,,
Nashville Plantation,Municipal Registrar,:registration,ocd-division/country:us/state:me/place:nashville,Nashville Plantation ME,,(207) 435-4361,,20 School St,Portage Lake,ME,04768,PO Box 255,Portage Lake,ME,04768
New Canada Town,Municiple Clerk,":election,:registration",ocd-division/country:us/state:me/place:new_canada,New Canada Town ME,,(207) 834-4004,,1809 Caribou Road,New Canada,ME,04743,,,,
New Gloucester Town,Municiple Clerk,":election,:registration",ocd-division/country:us/state:me/place:new_gloucester,New Gloucester Town ME,,(207) 926-4126,,385 Intervale Road,New Gloucester,ME,04260,,,,
New Limerick Town,Municiple Clerk,":election,:registration",ocd-division/country:us/state:me/place:new_limerick,New Limerick Town ME,,(207) 532-3303,,,,ME,,PO Box 121,New Limerick,ME,04761
New Portland Town,Municiple Clerk,":election,:registration",ocd-division/country:us/state:me/place:new_portland,New Portland Town ME,,(207) 628-4441,,901 River Road,New Portland,ME,04961,,,,
New Sharon Town,Municiple Clerk,":election,:registration",ocd-division/country:us/state:me/place:new_sharon,New Sharon Town ME,,(207) 778-4046,,,,ME,,PO Box 7,New Sharon,ME,04955
New Sweden Town,Municiple Clerk,":election,:registration",ocd-division/country:us/state:me/place:new_sweden,New Sweden Town ME,,(207) 896-3306,,50 Station Road,New Sweden,ME,04762,,,,
New Vineyard Town,Municiple Clerk,:election,ocd-division/country:us/state:me/place:new_vineyard,New Vineyard Town ME,,(207) 652-2222,,,,ME,,PO Box 262,New Vineyard,ME,04956
New Vineyard Town,Municipal Registrar,:registration,ocd-division/country:us/state:me/place:new_vineyard,New Vineyard Town ME,,(207) 652-2375,,577 Anson Valley Road,New Vineyard,ME,04956,,,,
Newburgh Town,Municiple Clerk,":election,:registration",ocd-division/country:us/state:me/place:newburgh,Newburgh Town ME,,(207) 234-4151,,2220 Western Ave,Newburgh,ME,04444,,,,
Newcastle Town,Municiple Clerk,":election,:registration",ocd-division/country:us/state:me/place:newcastle,Newcastle Town ME,,(207) 563-3441,,,,ME,,PO Box 386,Newcastle,ME,04553
Newfield Town,Municiple Clerk,":election,:registration",ocd-division/country:us/state:me/place:newfield,Newfield Town ME,,(207) 793-4348,,,,ME,,PO Box 62,West Newfield,ME,04095
Newport Town,Municiple Clerk,":election,:registration",ocd-division/country:us/state:me/place:newport,Newport Town ME,,(207) 368-4410,,23 Water St.,Newport,ME,04953,,,,
Newry Town,Municiple Clerk,:election,ocd-division/country:us/state:me/place:newry,Newry Town ME,,(207) 824-3123,,422 Bear River Road,Newry,ME,04261,,,,
Newry Town,Municipal Registrar,:registration,ocd-division/country:us/state:me/place:newry,Newry Town ME,,(207) 824-3123,,422 Bear River Road,Newry,ME,04261,,,,
No 21 Township,Municiple Clerk,":election,:registration",ocd-division/country:us/state:me/place:no_21,No 21 Township ME,,(207) 796-2744,,15 Depot,Princeton,ME,04668,PO Box 408,Princeton,ME,04668
Nobleboro Town,Municiple Clerk,":election,:registration",ocd-division/country:us/state:me/place:nobleboro,Nobleboro Town ME,,(207) 563-8816,,192 U S Highway 1,Nobleboro,ME,04555,,,,
Norridgewock Town,Municiple Clerk,:election,ocd-division/country:us/state:me/place:norridgewock,Norridgewock Town ME,,(207) 634-2252,,,,ME,,PO Box 7,Norridgewock,ME,04957
Norridgewock Town,Municipal Registrar,:registration,ocd-division/country:us/state:me/place:norridgewock,Norridgewock Town ME,,(207) 634-2252,,,,ME,,PO Box 7,Norridgewock,ME,04957
North Berwick Town,Municiple Clerk,":election,:registration",ocd-division/country:us/state:me/place:north_berwick,North Berwick Town ME,,(207) 676-3353,,21 Main St,North Berwick,ME,03906,PO Box 422,North Berwick,ME,03906
North Haven Town,Municiple Clerk,":election,:registration",ocd-division/country:us/state:me/place:north_haven,North Haven Town ME,,(207) 867-4433,,16 Town Office Square,North Haven,ME,04853,,,,
North Yarmouth Town,Municiple Clerk,":election,:registration",ocd-division/country:us/state:me/place:north_yarmouth,North Yarmouth Town ME,,(207) 829-3705,,10 Village Square Road,North Yarmouth,ME,04097,,,,
Northfield Town,Municiple Clerk,":election,:registration",ocd-division/country:us/state:me/place:northfield,Northfield Town ME,,(207) 255-4545,,1932 Northfield Road,Northfield,ME,04654,,,,
Northport Town,Municiple Clerk,":election,:registration",ocd-division/country:us/state:me/place:northport,Northport Town ME,,(207) 338-3819,,16 Beech Hill Road,Northport,ME,04849,,,,
Norway Town,Municiple Clerk,":election,:registration",ocd-division/country:us/state:me/place:norway,Norway Town ME,,(207) 743-6651,,19 Danforth Street,Norway,ME,04268,,,,
Oakfield Town,Municiple Clerk,":election,:registration",ocd-division/country:us/state:me/place:oakfield,Oakfield Town ME,,(207) 757-8479,,80 School Street,Town Of Oakfield,ME,04763,PO Box 10,Town Of Oakfield,ME,04763
Oakland Town,Municiple Clerk,":election,:registration",ocd-division/country:us/state:me/place:oakland,Oakland Town ME,,(207) 465-7357,,6 Cascade Mill Road,Oakland,ME,04963,PO Box 187,Oakland,ME,04963
Ogunquit Town,Municiple Clerk,":election,:registration",ocd-division/country:us/state:me/place:ogunquit,Ogunquit Town ME,,(207) 646-9546,,23 School Street,Ogunquit,ME,03907,PO Box 875,Ogunquit,ME,03907
Old Orchard Beach Town,Municiple Clerk,":election,:registration",ocd-division/country:us/state:me/place:old_orchard_beach,Old Orchard Beach Town ME,,(207) 934-4042,,1 Portland Avenue,Old Orchard Beach,ME,04064,,,,
Old Town City,Municiple Clerk,":election,:registration",ocd-division/country:us/state:me/place:old_town,Old Town ME City ME,,(207) 827-3980,,265 Main Street,Old Town,ME,04468,,,,
Orient Town,Municiple Clerk,:election,ocd-division/country:us/state:me/place:orient,Orient Town ME,,(207) 448-7729,,82 School House Road,Orient,ME,04471,,,,
Orient Town,Municipal Registrar,:registration,ocd-division/country:us/state:me/place:orient,Orient Town ME,,(207) 448-7729,,82 School House Road,Orient,ME,04471,,,,
Orland Town,Municiple Clerk,":election,:registration",ocd-division/country:us/state:me/place:orland,Orland Town ME,,(207) 469-3186,,25 School House Rd,Orland,ME,04472,PO Box 67,Orland,ME,04472
Orono Town,Municiple Clerk,:election,ocd-division/country:us/state:me/place:orono,Orono Town ME,,(207) 866-2556,,59 Main Street,Orono,ME,04473,,,,
Orono Town,Municipal Registrar,:registration,ocd-division/country:us/state:me/place:orono,Orono Town ME,,(207) 866-2556,,59 Main Street,Orono,ME,04473,,,,
Orrington Town,Municiple Clerk,":election,:registration",ocd-division/country:us/state:me/place:orrington,Orrington Town ME,,(207) 825-3340,,1 Municipal Way,Orrington,ME,04474,,,,
Osborn Town,Municiple Clerk,":election,:registration",ocd-division/country:us/state:me/place:osborn,Osborn Town ME,,(207) 584-3324,,179 Moose Hill Road,Osborn,ME,04605,,,,
Otis Town,Municiple Clerk,:election,ocd-division/country:us/state:me/place:otis,Otis Town ME,,(207) 537-2211,,132 Otis Road,Otis,ME,04605,,,,
Otis Town,Municipal Registrar,:registration,ocd-division/country:us/state:me/place:otis,Otis Town ME,,(207) 537-2211,,132 Otis Rd,Otis,ME,04605,,,,
Otisfield Town,Municiple Clerk,":election,:registration",ocd-division/country:us/state:me/place:otisfield,Otisfield Town ME,,(207) 539-2664,,403 State Route 121,Otisfield,ME,04270,,,,
Owls Head Town,Municiple Clerk,:election,ocd-division/country:us/state:me/place:owls_head,Owls Head Town ME,,(207) 594-7434,,,,ME,,PO Box 128,Owls Head,ME,04854
Owls Head Town,Municipal Registrar,:registration,ocd-division/country:us/state:me/place:owls_head,Owls Head Town ME,,(207) 594-7434,,,,ME,,PO Box 128,Owls Head,ME,04854
Oxbow Plantation,Municiple Clerk,":election,:registration",ocd-division/country:us/state:me/place:oxbow,Oxbow Plantation ME,,(207) 435-2841,,26 School,Masardis,ME,04732,,,,
Oxford Town,Municiple Clerk,:election,ocd-division/country:us/state:me/place:oxford,Oxford Town ME,,(207) 539-4431,,,,ME,,PO Box 153,Oxford,ME,04270
Oxford Town,Municipal Registrar,:registration,ocd-division/country:us/state:me/place:oxford,Oxford Town ME,,(207) 539-4431,,,,ME,,PO Box 153,Oxford,ME,04270
Palermo Town,Municiple Clerk,":election,:registration",ocd-division/country:us/state:me/place:palermo,Palermo Town ME,,(207) 993-2296,,45 N. Palermo Road,Palermo,ME,04354,PO Box 78,Palermo,ME,04354
Palmyra Town,Municiple Clerk,":election,:registration",ocd-division/country:us/state:me/place:palmyra,Palmyra Town ME,,(207) 938-4871,,,,ME,,PO Box 6,Palmya,ME,04965
Paris Town,Municiple Clerk,":election,:registration",ocd-division/country:us/state:me/place:paris,Paris Town ME,,(207) 743-2501,,33 Market Square,Paris (South),ME,04281,,,,
Parkman Town,Municiple Clerk,":election,:registration",ocd-division/country:us/state:me/place:parkman,Parkman Town ME,,(207) 876-3730,,771 State Hwy 150,Parkman,ME,04443,,,,
Parsonsfield Town,Municiple Clerk,":election,:registration",ocd-division/country:us/state:me/place:parsonsfield,Parsonsfield Town ME,,(207) 625-4558,,634 North Road,Parsonsfield,ME,04047,,,,
Passadumkeag Town,Municiple Clerk,":election,:registration",ocd-division/country:us/state:me/place:passadumkeag,Passadumkeag Town ME,,(207) 732-5111,,34 Pleasant St,Passadumkeag,ME,04475,,,,
Patten Town,Municiple Clerk,":election,:registration",ocd-division/country:us/state:me/place:patten,Patten Town ME,,(207) 528-2215,,,,ME,,PO Box 260,Patten,ME,04765
Pembroke Town,Municiple Clerk,":election,:registration",ocd-division/country:us/state:me/place:pembroke,Pembroke Town ME,,(207) 726-4490,,71 Front St.,Pembroke,ME,04666,,,,
Penobscot Town,Municiple Clerk,":election,:registration",ocd-division/country:us/state:me/place:penobscot,Penobscot Town ME,,(207) 817-7351,,"12 Wabanaki Way, Community Building",Penobscot Nation,ME,04468,,,,
Penobscot Nation,Municiple Clerk,":election,:registration",ocd-division/country:us/state:me/place:penobscot_nation,Penobscot Nation,,(207) 326-4364,,,,ME,,PO Box 4,Penobscot,ME,04476
Perham Town,Municiple Clerk,":election,:registration",ocd-division/country:us/state:me/place:perham,Perham Town ME,,(207) 455-5887,,206 High Meadow Rd,Perham,ME,04766,,,,
Perry Town,Municiple Clerk,":election,:registration",ocd-division/country:us/state:me/place:perry,Perry Town ME,,(207) 726-4490,,71 Front St.,Pembroke,ME,04666,,,,
Peru Town,Municiple Clerk,":election,:registration",ocd-division/country:us/state:me/place:peru,Peru Town ME,,(207) 562-4627,,,,ME,,PO Box 429,Peru,ME,04290
Phillips Town,Municiple Clerk,":election,:registration",ocd-division/country:us/state:me/place:phillips,Phillips Town ME,,(207) 639-3561,,1368 Rangeley Rd.,Phillips,ME,04966,,,,
Phippsburg Town,Municiple Clerk,:election,ocd-division/country:us/state:me/place:phippsburg,Phippsburg Town ME,,(207) 389-2653,,1042 Main Road,Phippsburg,ME,04562,,,,
Phippsburg Town,Municipal Registrar,:registration,ocd-division/country:us/state:me/place:phippsburg,Phippsburg Town ME,,(207) 389-2653,,1042 Main Road,Phippsburg,ME,04562,,,,
Pittsfield Town,Municiple Clerk,":election,:registration",ocd-division/country:us/state:me/place:pittsfield,Pittsfield Town ME,,(207) 487-3136,,112 Somerset Avenue,Pittsfield,ME,04967,,,,
Pittston Town,Municiple Clerk,":election,:registration",ocd-division/country:us/state:me/place:pittston,Pittston Town ME,,(207) 582-4438,,38 Whitefield Rd,Pittston,ME,04345,,,,
Pleasant Point,Municiple Clerk,":election,:registration",ocd-division/country:us/state:me/place:pleasant_point,Pleasant Point,,(207) 853-2600,,Sakom Road,Pleasant Point,ME,04667,PO Box 343,Pleasant Point,ME,04667
Pleasant Ridge Plantation,Municiple Clerk,":election,:registration",ocd-division/country:us/state:me/place:pleasant_ridge,Pleasant Ridge Plantation ME,,(207) 672-3784,,,,ME,,PO Box 151,Bingham,ME,04920
Plymouth Town,Municiple Clerk,":election,:registration",ocd-division/country:us/state:me/place:plymouth,Plymouth Town ME,,(207) 257-4646,,1947 Moosehead Trail,Plymouth,ME,04969,PO Box 130,Plymouth,ME,04969
Poland Town,Municiple Clerk,:election,ocd-division/country:us/state:me/place:poland,Poland Town ME,,(207) 998-4601,,1231 Maine Street,Poland,ME,04274,,,,
Poland Town,Municipal Registrar,:registration,ocd-division/country:us/state:me/place:poland,Poland Town ME,,(207) 998-4601,,1231 Maine Street,Poland,ME,04274,,,,
Portage Lake Town,Municiple Clerk,":election,:registration",ocd-division/country:us/state:me/place:portage_lake,Portage Lake Town ME,,(207) 435-4361,,20 School St.,Portage Lake,ME,04768,PO Box 255,Portage Lake,ME,04768
Porter Town,Municiple Clerk,:election,ocd-division/country:us/state:me/place:porter,Porter Town ME,,(207) 625-8344,,71 Main Street,Porter,ME,04068,,,,
Porter Town,Municipal Registrar,:registration,ocd-division/country:us/state:me/place:porter,Porter Town ME,,(207) 625-8344,,71 Main Street,Porter,ME,04068,,,,
Portland City,Municiple Clerk,":election,:registration",ocd-division/country:us/state:me/place:portland,Portland City ME,,(207) 874-8677,,389 Congress Street,Portland,ME,04101,,,,
Pownal Town,Municiple Clerk,":election,:registration",ocd-division/country:us/state:me/place:pownal,Pownal Town ME,,(207) 688-4611,,429 Hallowell Road,Pownal,ME,04069,,,,
Prentiss Township,Municiple Clerk,:election,ocd-division/country:us/state:me/place:prentiss,Prentiss Township ME,,(207) 403-0551,,778 Tucker Ridge Road,Webster Plt.,ME,04487,,,,
Prentiss Township,Municipal Registrar,:registration,ocd-division/country:us/state:me/place:prentiss,Prentiss Township ME,,(207) 765-2107,,511 Tucker Ridge Road,Webster Plt,ME,04487,,,,
Presque Isle City,Municiple Clerk,":election,:registration",ocd-division/country:us/state:me/place:presque_isle,Presque Isle City ME,,(207) 760-2720,,12 Second Street,Presque Isle,ME,04769,,,,
Princeton Town,Municiple Clerk,":election,:registration",ocd-division/country:us/state:me/place:princeton,Princeton Town ME,,(207) 796-2744,,15 Depot Street,Princeton,ME,04668,PO Box 408,Princeton,ME,04668
Prospect Town,Municiple Clerk,":election,:registration",ocd-division/country:us/state:me/place:prospect,Prospect Town ME,,(207) 567-3661,,958 Bangor Road,Prospect,ME,04981,,,,
Randolph Town,Municiple Clerk,:election,ocd-division/country:us/state:me/place:randolph,Randolph Town ME,,(207) 582-5808,,121 Kinderhook Street,Randolph,ME,04346,,,,
Randolph Town,Municipal Registrar,:registration,ocd-division/country:us/state:me/place:randolph,Randolph Town ME,,(207) 582-5808,,121 Kinderhook Street,Randolph,ME,04346,,,,
Rangeley Town,Municiple Clerk,":election,:registration",ocd-division/country:us/state:me/place:rangeley,Rangeley Town ME,,(207) 864-5155,,293 S Shore Drive,Rangeley,ME,04970,PO Box 308,Rangeley,ME,04970
Rangeley Plantation,Municiple Clerk,":election,:registration",ocd-division/country:us/state:me/place:rangeley_plantation,Rangeley Plantation ME,,(207) 864-3326,,15 School Street,Rangeley,ME,04970,,,,
Raymond Town,Municiple Clerk,":election,:registration",ocd-division/country:us/state:me/place:raymond,Raymond Town ME,,(207) 655-4742,,401 Webbs Mills Rd,Raymond,ME,04071,,,,
Readfield Town,Municiple Clerk,":election,:registration",ocd-division/country:us/state:me/place:readfield,Readfield Town ME,,(207) 685-4939,,8 Old Kents Hill Rd,Readfield,ME,04355,,,,
Reed Plantation,Municiple Clerk,":election,:registration",ocd-division/country:us/state:me/place:reed,Reed Plantation ME,,(207) 456-7546,,Main St,Wytopitlock,ME,04497,PO Box 92,Wytopitlock,ME,04497
Richmond Town,Municiple Clerk,":election,:registration",ocd-division/country:us/state:me/place:richmond,Richmond Town ME,,(207) 737-4305,,26 Gardiner Street,Richmond,ME,04357,,,,
Ripley Town,Municiple Clerk,":election,:registration",ocd-division/country:us/state:me/place:ripley,Ripley Town ME,,(207) 277-4871,,1084 Main Street,Ripley,ME,04930,,,,
Robbinston Town,Municiple Clerk,":election,:registration",ocd-division/country:us/state:me/place:robbinston,Robbinston Town ME,,(207) 454-3220,,,,ME,,PO Box 1,Robbinston,ME,04671
Rockland City,Municiple Clerk,:election,ocd-division/country:us/state:me/place:rockland,Rockland City ME,,(207) 594-0304,,270 Pleasant,Rockland,ME,04841,,,,
Rockland City,Municipal Registrar,:registration,ocd-division/country:us/state:me/place:rockland,Rockland City ME,,(207) 594-0334,,270 Pleasant,Rockland,ME,04841,,,,
Rockport Town,Municiple Clerk,":election,:registration",ocd-division/country:us/state:me/place:rockport,Rockport Town ME,,(207) 236-9648,,101 Main Street,Rockport,ME,04856,PO Box 10,Rockport,ME,04856
Rockwood Strip Township,Municiple Clerk,":election,:registration",ocd-division/country:us/state:me/place:rockwood_strip,Rockwood Strip Township ME,,(207) 534-7229,,Blue Ridge,Rockwood,ME,04478,PO Box 25,Rockwood,ME,04478
